gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
MALE,group B,high school, standard,NONE,57%,48%,51%
FEMALE,group D,some college, standard,COMPLETED,79%,84%,91%
FEMALE,group C,bachelor's degree, free/reduced,NONE,67%,75%,72%
MALE,group E,bachelor's degree, standard,COMPLETED,70%,64%,70%
MALE,group D,bachelor's degree, free/reduced,NONE,50%,42%,48%
FEMALE,group A,some college, standard,NONE,69%,84%,82%
FEMALE,group C,bachelor's degree, standard,COMPLETED,52%,61%,66%
FEMALE,group C,bachelor's degree, free/reduced,COMPLETED,47%,62%,66%
FEMALE,group B,associate's degree, free/reduced,NONE,46%,61%,55%
FEMALE,group E,some college, standard,NONE,68%,70%,66%
MALE,group E,bachelor's degree, standard,COMPLETED,100%,100%,100%
FEMALE,group C,high school, standard,NONE,44%,61%,52%
FEMALE,group C,associate's degree, standard,COMPLETED,57%,77%,80%
MALE,group B,some college, standard,COMPLETED,91%,96%,91%
MALE,group D,high school, free/reduced,NONE,69%,70%,67%
FEMALE,group C,high school, free/reduced,NONE,35%,53%,46%
MALE,group D,high school, standard,NONE,72%,66%,66%
FEMALE,group B,associate's degree, free/reduced,NONE,54%,65%,65%
MALE,group D,high school, free/reduced,NONE,74%,70%,69%
MALE,group E,some high school, standard,COMPLETED,74%,64%,60%
MALE,group E,associate's degree, free/reduced,NONE,64%,56%,52%
FEMALE,group D,high school, free/reduced,COMPLETED,65%,61%,71%
MALE,group E,associate's degree, free/reduced,COMPLETED,46%,43%,44%
FEMALE,group C,some high school, free/reduced,NONE,48%,56%,51%
MALE,group C,some college, free/reduced,COMPLETED,67%,74%,70%
MALE,group D,some college, free/reduced,NONE,62%,57%,62%
MALE,group D,associate's degree, free/reduced,COMPLETED,61%,71%,73%
MALE,group C,bachelor's degree, free/reduced,COMPLETED,70%,75%,74%
MALE,group C,associate's degree, standard,COMPLETED,98%,87%,90%
MALE,group D,some college, free/reduced,NONE,70%,63%,58%
MALE,group A,associate's degree, standard,NONE,67%,57%,53%
FEMALE,group E,high school, free/reduced,NONE,57%,58%,57%
MALE,group D,some college, standard,COMPLETED,85%,81%,85%
MALE,group D,some high school, standard,COMPLETED,77%,68%,69%
MALE,group C,master's degree, free/reduced,COMPLETED,72%,66%,72%
FEMALE,group D,master's degree, standard,NONE,78%,91%,96%
MALE,group C,high school, standard,NONE,81%,66%,64%
MALE,group A,some high school, free/reduced,COMPLETED,61%,62%,61%
FEMALE,group B,high school, standard,NONE,58%,68%,61%
FEMALE,group C,associate's degree, standard,NONE,54%,61%,58%
MALE,group B,high school, standard,NONE,82%,82%,80%
FEMALE,group D,some college, free/reduced,NONE,49%,58%,60%
MALE,group B,some high school, free/reduced,COMPLETED,49%,50%,52%
FEMALE,group E,high school, free/reduced,COMPLETED,57%,75%,73%
MALE,group E,high school, standard,NONE,94%,73%,71%
FEMALE,group D,some college, standard,COMPLETED,75%,77%,83%
FEMALE,group E,some high school, free/reduced,NONE,74%,74%,72%
MALE,group C,high school, standard,COMPLETED,58%,52%,54%
FEMALE,group C,some college, standard,NONE,62%,69%,69%
MALE,group E,associate's degree, standard,NONE,72%,57%,62%
MALE,group C,some college, standard,NONE,84%,87%,81%
FEMALE,group D,master's degree, standard,NONE,92%,100%,100%
FEMALE,group D,high school, standard,NONE,45%,63%,59%
MALE,group C,high school, standard,NONE,75%,81%,71%
FEMALE,group A,some college, standard,NONE,56%,58%,64%
FEMALE,group D,some high school, free/reduced,NONE,48%,54%,53%
FEMALE,group E,associate's degree, standard,NONE,100%,100%,100%
FEMALE,group C,some high school, free/reduced,COMPLETED,65%,76%,75%
MALE,group D,some college, standard,NONE,72%,57%,58%
FEMALE,group D,some college, standard,NONE,62%,70%,72%
MALE,group A,some high school, standard,COMPLETED,66%,68%,64%
MALE,group C,some college, standard,NONE,63%,63%,60%
FEMALE,group E,associate's degree, standard,NONE,68%,76%,67%
FEMALE,group B,bachelor's degree, standard,NONE,75%,84%,80%
FEMALE,group D,bachelor's degree, standard,NONE,89%,100%,100%
MALE,group C,some high school, standard,COMPLETED,78%,72%,69%
FEMALE,group A,high school, free/reduced,COMPLETED,53%,50%,60%
FEMALE,group D,some college, free/reduced,NONE,49%,65%,61%
FEMALE,group A,some college, standard,NONE,54%,63%,67%
FEMALE,group C,some college, standard,COMPLETED,64%,82%,77%
MALE,group B,some college, free/reduced,COMPLETED,60%,62%,60%
MALE,group C,associate's degree, standard,NONE,62%,65%,58%
MALE,group D,high school, standard,COMPLETED,55%,41%,48%
FEMALE,group C,associate's degree, standard,NONE,91%,95%,94%
FEMALE,group B,high school, free/reduced,NONE,8%,24%,23%
MALE,group D,some high school, standard,NONE,81%,78%,78%
MALE,group B,some high school, standard,COMPLETED,79%,85%,86%
FEMALE,group A,some college, standard,COMPLETED,78%,87%,91%
FEMALE,group C,some high school, standard,NONE,74%,75%,82%
MALE,group A,high school, standard,NONE,57%,51%,54%
FEMALE,group C,associate's degree, standard,NONE,40%,59%,51%
MALE,group E,some high school, standard,COMPLETED,81%,75%,76%
FEMALE,group A,some high school, free/reduced,NONE,44%,45%,45%
FEMALE,group D,some college, free/reduced,COMPLETED,67%,86%,83%
MALE,group E,high school, free/reduced,COMPLETED,86%,81%,75%
FEMALE,group B,some high school, standard,COMPLETED,65%,82%,78%
FEMALE,group D,associate's degree, free/reduced,NONE,55%,76%,76%
FEMALE,group D,bachelor's degree, free/reduced,NONE,62%,72%,74%
MALE,group A,high school, standard,NONE,63%,63%,62%
FEMALE,group E,master's degree, standard,COMPLETED,88%,99%,95%
MALE,group C,high school, free/reduced,NONE,62%,55%,55%
FEMALE,group C,high school, free/reduced,COMPLETED,59%,71%,65%
FEMALE,group D,some college, standard,COMPLETED,68%,78%,77%
FEMALE,group D,some college, free/reduced,NONE,77%,86%,86%
